,scores
325,1.151547156665121
326,2.765281483634137
327,1.5605436020819716
328,1.6001100621169184
329,3.4088033796817188
330,1.9839859977550105
331,1.7166774081765266
332,2.065322120436468
333,1.4873954182670748
334,2.9153084597599452
335,1.586171823088661
336,1.9581579182071882
337,2.161062121398857
338,1.6438355434909162
339,2.232208024426012
340,2.4953482942921137
341,1.3187965554629035
342,3.114441409078669
343,1.7377505917151752
344,2.132266021051018
345,1.9801583414231037
346,1.4891179217686978
347,3.128365003837326
348,4.314448869730644
349,1.2705869261968035
350,1.3088410367331886
351,1.8984219249729033
352,1.6161433055863503
353,1.8171498675997577
354,1.6741431161608888
355,1.7444432562826802
356,2.3644430648804837
357,1.1126002351870394
358,2.6313693195099552
359,2.0166066155113342
360,1.5164483943328855
361,1.6770453976031088
362,1.5036505672872669
363,1.4337323775208977
364,2.595097280576242
365,2.367429588933417
366,2.235845716750482
367,2.5895538748069673
368,1.5275519556105757
369,1.542801240577487
370,1.4551776894183825
371,1.4194272191749517
372,1.6709741342170135
373,1.656767375169647
374,4.135372411919938
375,2.2667691388695843
376,1.572031517606483
377,1.4762252089277472
378,1.4611179625886803
379,1.425502579924571
380,1.953426177860966
381,1.6441798037054673
382,2.4460867837863596
383,3.271310600677289
384,1.8242584028080036
385,1.4986773814924153
386,1.48366714276654
387,1.443633662318468
388,4.315351991962988
389,2.1304630542446983
390,1.8062074975034292
391,2.8913292446223724
392,1.8772837981491985
393,1.6105609876559883
394,1.526732066849454
395,1.4785636938543703
396,1.9087905070631308
397,1.7478634578783623
398,1.7673644493588851
399,2.8486863390020947
400,1.0535541884046267
401,1.0508553356406278
402,2.053114260403795
403,1.714605858914501
404,0.8326144141423282
405,0.9283183151531099
406,1.1305589811913275
407,0.9534354594107124
408,1.0511058768469477
409,1.050503666429071
410,1.8625386936472992
411,1.504250012932395
412,0.8398090135865767
413,0.9469711156163525
414,1.292591788131535
415,1.0068824763489366
416,1.061913172479569
417,1.065558493562545
418,1.8127736262528127
419,1.4518595384129829
420,0.8520690619691788
