,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
59,99.99,105.17,115.56,118.91,101.07,89.28,84.3,89.69,82.76,72.105,85.58,81.738,76.502,79.357,83.411,80.252,98.281,94.819,99.549,89.719,96.283,98.537
60,100.21,105.15,116.12,119.06,101.12,88.98,84.25,89.92,82.81,72.165,86.3,81.291,76.357,79.138,83.175,80.335,98.661,94.578,99.836,89.812,96.764,99.281
61,100.36,105.92,116.79,118.19,100.35,88.78,84.05,89.9,82.66,72.965,85.895,80.972,76.072,78.963,82.899,80.254,98.475,94.618,100.285,89.706,96.845,99.092
62,99.92,105.2,117.63,118.24,99.49,87.95,84.4,89.06,82.62,72.67,85.96,81.444,76.083,79.641,83.092,80.249,97.673,94.524,100.218,89.859,96.799,99.753
63,99.89,105.16,117.5,118.0,99.58,87.53,84.78,89.39,82.91,72.485,84.89,81.254,76.159,79.949,82.861,80.372,96.801,94.637,100.412,89.783,96.923,100.271
64,100.57,105.21,115.85,118.29,100.55,88.85,84.6,89.3,82.71,72.36,84.555,81.57,76.111,80.293,82.795,80.64,96.961,94.441,100.426,90.154,96.662,100.677
65,99.75,104.85,115.26,118.06,100.78,89.58,84.68,88.52,82.45,72.5,85.075,81.612,75.757,80.085,82.603,80.571,98.056,94.504,100.441,89.782,96.925,100.755
66,100.15,105.05,115.56,118.54,100.88,89.08,84.88,88.3,82.76,72.53,85.665,81.701,75.81,79.919,82.869,80.355,98.131,94.252,100.57,89.534,97.002,99.914
67,100.33,105.19,114.9,117.94,101.48,88.55,84.41,88.63,82.885,72.12,85.71,81.241,75.273,80.098,82.414,79.835,99.395,93.942,101.117,89.28,96.65,100.17
68,99.92,105.75,115.4,117.83,100.9,89.29,84.12,89.31,82.48,72.42,86.075,80.692,75.282,79.993,82.634,79.553,99.596,93.945,100.952,89.253,96.611,99.504
69,99.65,105.39,116.07,117.65,100.53,89.22,84.4,89.43,82.44,72.065,84.93,80.625,75.065,79.449,82.325,79.45,99.768,94.762,100.622,89.456,96.558,99.336
70,99.84,105.61,116.22,118.02,100.2,90.18,84.4,89.15,82.16,72.13,84.925,80.291,75.19,80.055,82.406,79.523,98.94,94.908,100.711,89.503,96.809,98.885
71,99.59,105.73,115.63,117.98,100.56,90.56,84.99,89.31,81.925,72.29,85.36,80.585,74.888,79.732,82.507,79.805,98.525,94.686,100.463,89.135,96.598,99.486
72,100.16,105.92,116.26,117.73,100.31,90.36,84.5,89.37,81.87,71.645,85.5,80.944,75.028,79.627,81.823,79.888,97.614,94.46,100.194,89.228,96.556,100.1
73,99.86,105.46,116.62,116.86,100.05,90.24,83.97,88.36,81.63,71.925,86.295,81.105,75.73,79.674,82.791,79.883,97.707,93.947,99.404,89.347,96.652,99.836
74,100.4,105.92,116.23,116.65,99.29,90.11,83.71,87.94,81.52,72.255,86.98,81.141,75.249,79.707,82.681,79.903,98.16,94.471,99.638,89.695,96.658,100.058
75,100.68,106.43,115.17,116.59,99.56,90.75,83.48,87.5,81.47,71.88,86.89,81.266,74.567,79.313,82.846,80.03,98.205,94.574,99.685,90.075,97.151,100.374
76,100.85,106.94,114.48,116.7,99.9,91.42,83.71,87.96,81.45,71.54,86.485,81.682,74.18,79.536,82.824,79.995,98.138,95.08,99.88,90.705,96.955,100.528
77,100.71,107.27,114.9,116.83,98.99,91.1,83.45,87.77,81.55,72.05,85.755,81.498,74.181,79.326,83.186,79.935,97.454,94.801,98.973,90.537,97.32,100.535
78,100.74,107.07,115.34,116.36,99.02,91.36,83.79,87.21,81.36,72.775,84.92,81.615,74.025,79.111,83.026,79.877,97.099,94.543,98.648,90.953,97.855,100.434
79,100.89,108.54,115.16,115.75,98.56,90.85,83.94,87.09,81.25,73.03,85.92,82.31,73.691,79.001,82.84,79.818,96.941,94.367,98.92,91.365,97.919,100.097
80,100.48,108.4,114.59,115.23,98.62,90.63,84.1,86.99,81.57,72.8,85.325,82.535,73.311,78.757,82.571,79.762,96.194,93.727,98.955,91.343,97.726,99.934
81,100.66,109.43,115.81,115.13,98.92,91.43,84.36,86.4,81.35,73.105,84.655,82.161,73.107,78.848,82.202,79.881,95.322,93.054,98.898,91.63,97.581,99.644
82,100.82,109.99,115.95,115.4,98.2,90.8,84.42,85.88,81.3,72.72,84.775,81.991,73.139,78.935,81.807,79.532,94.714,92.618,98.93,92.255,97.201,99.028
83,100.89,109.5,115.46,114.79,97.38,90.68,84.45,85.78,81.43,73.48,84.705,82.399,73.315,79.201,81.522,79.579,95.445,92.931,98.829,92.339,97.41,99.1
84,100.99,110.13,115.32,115.1,96.88,91.02,84.46,85.56,81.59,73.69,84.115,83.421,73.213,79.293,82.282,79.563,95.637,93.187,99.082,92.251,97.586,99.567
85,100.51,111.15,115.53,113.87,96.94,90.05,83.95,85.63,81.82,73.375,84.295,84.2,74.375,79.587,82.195,79.53,95.202,93.78,98.647,92.408,97.26,99.762
86,99.74,111.7,115.09,113.87,96.53,89.5,83.94,85.15,81.62,73.175,83.94,85.047,75.08,79.715,82.378,79.126,94.175,93.883,98.528,92.592,97.268,100.136
87,99.3,111.2,115.49,114.18,95.58,90.09,84.62,84.92,81.54,73.69,84.105,84.659,74.9,79.849,82.335,79.243,94.749,94.115,98.936,92.958,97.399,99.906
