,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,-7.922104578155746,-6.26623125645505,-4.814141403036741,-3.64928243460393,-2.9798073377228564,-1.69573505192365,0.07118119114466814,1.2324860622099472,2.224176267206598,2.6738956711220445,2.6138611309748545,2.596667889199975,2.869867323299749,3.3803412177563703,2.849627719337207,2.0293649365399675,0.3004494132384894,-1.7357821670919775
13,-7.73511690769353,-6.229404908344127,-4.843406973920186,-3.803356095099266,-3.047601736620053,-1.6201881741908573,0.09982141096703878,1.2001916869788078,1.9677832247869766,2.393728067313901,2.337652842523804,2.2850385620777187,2.677493809778576,3.193762574896335,2.9170368309948698,1.9697981691262094,0.4757346334322322,-1.4779213258391921
14,-7.446298482825094,-5.720578088679684,-4.420030455838291,-3.886102133493543,-2.7582025839697377,-1.358286740196326,0.18440345306681294,1.412401869337806,2.35316657898056,2.5433177982482564,2.5535043829173785,2.480072433547705,2.756448297466441,3.1475274764383103,2.7733853003076216,1.7190133858706198,0.14120386127564144,-1.573824419509649
15,-7.28375024244531,-5.395885601467365,-4.151279152708993,-3.747709040472892,-2.501547501129393,-0.7350107806405813,0.4606023018492835,1.863638428788729,2.611874661552736,2.5067920179152003,2.408135655634385,2.3332504311452027,2.4822446909722515,2.943940148873825,2.79162545017633,1.4877338058314304,0.16886315879671776,-1.5961351669591435
16,-6.608143316698322,-4.983622973707574,-3.8895035588533853,-3.415399992952548,-2.376362384489369,-0.7770935353759785,0.5314535890434801,1.8607934555506755,2.54231293612773,2.586630343422658,2.4971585811816643,2.5982841451007057,2.951664457605884,2.8347739545062796,2.3331715549993977,1.0016798649519678,-0.6535076635076729,-2.1756806927090055
17,-6.540665534914702,-5.06163118190014,-4.104102988202743,-3.5340483638482927,-2.279147162862268,-0.7428976101098465,0.4508222188357539,1.5637802942003067,2.2172181109770106,2.2983789589669774,2.1683340732500893,2.4332319480838027,2.845784818123569,2.9440764614407122,2.2600830224955812,1.1341209107772128,-0.4272008803219397,-1.7963041025655673
18,-5.8266467709862635,-4.5144948955158295,-4.067996570535979,-3.186303076167363,-2.022342161120453,-0.6532307745335014,0.7442404561410466,1.9699432705527355,2.4992315479747598,2.6779559822571244,2.4552391188867655,2.535153352546536,2.8989619264574085,2.803051851305256,2.06818777781063,0.8928107341324304,-0.43473576115124335,-1.7255698439236857
19,-5.5184123598983135,-4.268149524155138,-3.84723329526091,-2.77789707592821,-1.443092233330604,-0.3793223337648379,1.1932048889314872,2.1560122387710674,2.406790781425581,2.610832582092817,2.4666920912541306,2.413038684858332,2.7995766588473487,2.9183868380077986,1.8585451994809388,0.8714532330101472,-0.4992128494860978,-2.016644435366988
20,-4.9418115131153595,-4.013644129736252,-3.613410568462114,-2.763590182571955,-1.4834812313106784,-0.3261991444739382,1.2702081930708664,2.1818156704565266,2.4986670559449604,2.66181943308899,2.6980529345538815,2.826896429395421,2.732751449553364,2.389091505450853,1.3030506672638424,0.054317498858680535,-1.1557219114146187,-2.0382924475489714
21,-5.061417943764087,-4.250994533209874,-3.763698685952047,-2.5787818776211573,-1.396054888190888,-0.387535421485344,1.02392600590626,1.9294274199294814,2.2324357670118204,2.276905283281615,2.5055297904489353,2.7398128784113327,2.847741408269998,2.3017819829355393,1.446649234860538,0.29219555107129236,-0.7259745360943948,-1.7793468381754298
22,-4.513809990276751,-4.170144314512305,-3.43697272000591,-2.392901365981185,-1.3447884124006462,0.018674406355986495,1.4426938681044255,2.339219339324147,2.7278053941686857,2.566417564563145,2.5845329941489164,2.829021222165866,2.6709210564008767,2.1540126212208146,1.3098502086550194,0.36783884810037576,-0.6004850940347273,-1.4163715254356868
23,-4.126279057292534,-3.779897594490153,-2.8316064177597275,-1.8969183468458786,-1.0859050289221002,0.28913962125945136,1.4613958186821643,2.112486182830815,2.710042441175935,2.6932377045693587,2.6532776805410196,2.8454881729466774,2.8728410205047896,1.967249038461388,1.2293751223727845,0.2285597751149755,-0.9022749358528446,-1.3764416467037188
24,-3.8682557580207493,-3.588584587994981,-2.9154745885090367,-1.8711614576517945,-1.043257858044963,0.5010629915865085,1.650166602164283,2.289577127563442,2.7654217534403074,2.885816388062546,2.94451834193196,2.700920596737495,2.452007383887806,1.503796985569311,0.6019954650807386,-0.30754093621345313,-0.9151366536603891,-1.2844642013996947
25,-4.115412878537121,-3.8112817293800485,-2.660777343601052,-1.7732328935840362,-1.0332651531759631,0.35334489676499603,1.5514485662273485,2.1094563862704465,2.3746824958315127,2.6690438732101827,2.833205727533505,2.819604298097604,2.3497630001561594,1.677710126914306,0.860659853567206,0.18475716694200164,-0.5397017751130226,-0.5218636862132511
26,-3.915258324447293,-3.3447330572147305,-2.341259733636376,-1.5988540326940501,-0.3911561973796833,0.8433439106804989,2.086694895348696,2.6300972624442296,2.618493556942241,2.6948943544141395,2.8956975549674064,2.5463267271614334,2.2558054738549855,1.6519546179664166,1.0240487115421921,0.3954212602822639,-0.09406420846957989,-0.24077758113661996
27,-3.467705990695038,-2.684773769604051,-2.024805950641713,-1.4099784305955594,-0.36540719388316967,0.6794767737792188,1.7386959382253766,2.6279761142370623,2.7775468855051186,2.931289242224093,3.0234683065283803,2.845346349753889,2.100415678515611,1.534909824936459,0.8172904266591986,0.0778002732865341,-0.10532730321862013,0.005005168684594732
28,-3.129449370605458,-2.7136532505170776,-1.8545398482499398,-1.300734110754066,-0.036662668324531134,0.947784723264667,1.9247512268329716,2.6711816175113072,2.8978119069889,3.1097902536010587,2.7883316960182207,2.404982720311832,1.6134082451720277,0.9982595040689295,0.30735530305686093,0.004067572624165128,-0.07391345134336902,0.20237418796917725
